X,Y,OBJECTID,Name,Descr,TimeWhen,Extrude,AltMode,Symbology,Labeling,Class
-86.4663999997601,33.6204999996753,28,October 1986,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 8679: Adult recalls childhood sighting at dusk near Moody</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp",2004-09-30 12:00:00,1,RelativeToGround, , ,A
-86.7891000000649,33.8131999998802,29,September 1979,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 10498: Hiker has daylight sighting near Warrior.</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classifi",1979-09-15 12:00:00,1,RelativeToGround, , ,A
-87.2454699997406,32.3067300003893,30,July 1985,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 14082: Daylight road crossing sighting near Orrville</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#clas",2006-09-10 12:00:00,1,RelativeToGround, , ,A
-86.9978199997931,31.0000200002229,31,"December 2002;2006","<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border</b><br></br><a href=""http://www.bfro.net/g",2006-07-06 12:00:00,1,RelativeToGround, , ,A
-85.7049999998501,32.4300000003997,32,January 2007,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest</b><br></br><a href=""http://www.bfro.",2007-05-19 12:00:00,1,RelativeToGround, , ,A
-85.6249999996502,33.3500000000001,33,June 2005,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 17480: Sighting by a group of campers in Cheaha Mountain State Park</b><br></br><a href=""http://www.bfro.net/gdb/cl",2007-04-22 12:00:00,1,RelativeToGround, , ,A
-86.1752399997262,34.2760699998307,34,1992,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 18043: Evening sighting by family driving by Guntersville Lake</b><br></br><a href=""http://www.bfro.net/gdb/classif",1992-08-15 12:00:00,1,RelativeToGround, , ,A
-86.4999999997002,33.5899999997003,35,July 2007,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 22539: Roadside Sighting near Moody</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Class",2007-07-18 12:00:00,1,RelativeToGround, , ,A
-86.5810000001499,32.1840000001,36,April 2001,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 24646: Early morning sighting by a fisherman south of Montgomery</b><br></br><a href=""http://www.bfro.net/gdb/class",2001-04-13 12:00:00,1,RelativeToGround, , ,A
-86.1712199996032,33.3630500001574,37,1999,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest</b><br></br><a href=""h",1999-11-23 12:00:00,1,RelativeToGround, , ,A
-86.657499999925,34.7113900000485,38,February 2009,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville</b><br></br><a href=""http://www.bfr",2009-02-24 12:00:00,1,RelativeToGround, , ,A
-87.9183300004291,30.7113000002948,39,September 1979,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile</b><br></br><a href=""http://www.bfro.net/gdb",1979-09-14 12:00:00,1,RelativeToGround, , ,A
-86.4890999997651,32.7696699999706,40,May 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 26886: Daylight sighting while riding ATV on his private property outside Verbena</b><br></br><a href=""http://www.b",2000-05-13 12:00:00,1,RelativeToGround, , ,A
-85.3599500003922,31.8680099998617,41,January 1980,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton</b><br></b",1980-01-12 12:00:00,1,RelativeToGround, , ,A
-87.5339500002922,33.8957000002549,42,March 2010,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27459: Motorist sights dirty-white upright creature near the town of Kansas</b><br></br><a href=""http://www.bfro.ne",2010-03-12 12:00:00,1,RelativeToGround, , ,A
-87.5339500002922,33.8957000002549,43,1990,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas</b><br></br><a href=""http://ww",1990-05-15 12:00:00,1,RelativeToGround, , ,A
-87.7768600001888,34.7011200003877,44,January 2005,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals</b><br></br><a href=""http://www.bfro.net/gdb/classify.a",2005-01-12 12:00:00,1,RelativeToGround, , ,A
-87.0648600003886,31.1358599998392,45,1983,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton</b><br></br><a href=""http://www.bf",1983-10-14 12:00:00,1,RelativeToGround, , ,A
-86.5452700000105,31.3478100001314,46,October 1978,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia</b><br></br><a href=""http://w",1978-10-10 12:00:00,1,RelativeToGround, , ,A
-88.1247500002123,33.4157400000011,47,May 2012,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 35475: Daylight road crossing near Vernon</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification""",2012-05-21 12:00:00,1,RelativeToGround, , ,A
-88.2629099997966,31.2538500000775,48,February 2008,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale</b><br></br><a href=""http://ww",2008-02-15 12:00:00,1,RelativeToGround, , ,A
-85.4898500003772,33.8216199996633,49,November 2012,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 37094: Multiple sightings close to Lookout Mountain near Gadsden</b><br></br><a href=""http://www.bfro.net/gdb/class",2012-11-01 12:00:00,1,RelativeToGround, , ,A
-86.5045000003747,34.3227899995589,50,August 2012,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove</b><br></br><a href=""http://www.bfro.net/",2012-08-15 12:00:00,1,RelativeToGround, , ,A
-86.5695399995713,34.4709099997967,51,March 2013,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 40417: Nighttime encounters close to home near Morgan</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cla",2013-03-16 12:00:00,1,RelativeToGround, , ,A
-86.8862099996917,34.2951100001264,52,January 2013,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line</b><br></br><a href=""http:/",2013-01-23 12:00:00,1,RelativeToGround, , ,A
-86.3769800004266,32.4832200004028,53,October 2013,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton</b><br></br><a href=""http://www.b",2013-10-15 12:00:00,1,RelativeToGround, , ,A
-86.9847299995898,33.5515300000096,54,October 2013,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham</b><br></br><a h",2013-10-02 12:00:00,1,RelativeToGround, , ,A
-85.9793000002948,32.9187399999511,55,1967,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 44487: Memory told of a close dalylight observation outside Alexander City</b><br></br><a href=""http://www.bfro.net",2014-03-30 12:00:00,1,RelativeToGround, , ,A
-87.6941999996303,33.3709500002424,56,April 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img>(New)<b>
          Report 44849: Sightings at night in the same area off Bone Camp Road near Northport</b><br></br><a href=""http://www.b",2014-12-27 12:00:00,1,RelativeToGround, , ,A
-85.1926499996977,31.65100000005,57,1953,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville</b><br></br><",2014-12-31 12:00:00,1,RelativeToGround, , ,A
-86.9641599997841,34.0080599998691,58,June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen</b><br></br><a href=""http://www.bfro.net/gdb",2014-06-09 12:00:00,1,RelativeToGround, , ,A
-85.2278099996317,34.1411700003953,59,June 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff</b><br></br><a href=""http://www.bfro.net/gdb/",2014-06-17 12:00:00,1,RelativeToGround, , ,A
-85.2157399997012,31.2337399999011,60,September 2014,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 46746: Nighttime sighting by a motorist west of Newville</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#",2014-09-17 12:00:00,1,RelativeToGround, , ,A
-85.7944000000599,31.5347500000125,61,January 2013,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img>(New)<b>
          Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton</b><br></br><a h",2013-01-28 12:00:00,1,RelativeToGround, , ,A
-92.3408300004041,34.550560000044,62,1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 186: Two boys are chased by sasquatch</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cla",2001-08-11 12:00:00,1,RelativeToGround, , ,A
-92.3822199998531,36.1944399996063,63,1972,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1636: Teenager has sighting near Ozark National Forest</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cl",1972-11-05 12:00:00,1,RelativeToGround, , ,A
-92.3850000003497,36.3352799995724,64,May 1995,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1637: Backyard sighting near Mountain Home. </b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classificati",1995-05-15 12:00:00,1,RelativeToGround, , ,A
-93.0000000001998,34.0799999998002,65,October 1996,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1640: Nightime sighting by motorists on Hwy 7 North</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",1996-10-15 12:00:00,1,RelativeToGround, , ,A
-93.1,34.2500000000001,66,October 1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1641: From top of hill, hunter observes bipedal creature following a fence row</b><br></br><a href=""http://www.bfro",1998-10-29 12:00:00,1,RelativeToGround, , ,A
-94.3643000004446,33.7698600004387,67,August 1969,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 1944: Family has multiple encounters with white bigfoot creature</b><br></br><a href=""http://www.bfro.net/gdb/class",1969-08-16 12:00:00,1,RelativeToGround, , ,A
-91.7349999998501,34.7870000001499,68,October 1943,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2494: Bus driver encounters ape like creature during an unscheduled stop</b><br></br><a href=""http://www.bfro.net/g",2001-08-11 12:00:00,1,RelativeToGround, , ,A
-90.5105600002438,36.1208300000046,69,January 1988,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2774: Large bipedal animal observes couple parking behind school gymnasium</b><br></br><a href=""http://www.bfro.net",1988-01-10 12:00:00,1,RelativeToGround, , ,A
-92.0338900002233,33.8211100004262,70,July 2001,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison</b><br></br><a href=""http:",2001-07-29 12:00:00,1,RelativeToGround, , ,A
-93.8342600001988,35.9974999999251,71,June 1970,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road</b><br></br><a href=""htt",1970-06-15 12:00:00,1,RelativeToGround, , ,A
-93.1520799995923,35.4209699997657,72,November 1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3226: Man finds 3-toed prints <![CDATA[&]]> wife has sighting</b><br></br><a href=""http://www.bfro.net/gdb/classify",1998-11-15 12:00:00,1,RelativeToGround, , ,A
-93.2038900002233,33.8886099997517,73,April 1984,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks</b><br></br><a href=""http://www.bf",1984-04-17 12:00:00,1,RelativeToGround, , ,A
-93.8860000002998,33.2666599995594,74,January 2000,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4090: Sighting in wheat field near Fouke</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">",2000-01-15 12:00:00,1,RelativeToGround, , ,A
-91.1125000003747,36.1979100004462,75,1977,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4093: Daytime sighting between Pocahontas and Imboden</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#cla",1977-09-25 12:00:00,1,RelativeToGround, , ,A
-92.5866699996208,34.5644399998062,76,October 1994,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 4094: Late night encounter near Benton</b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#classification"">Cl",1994-10-15 12:00:00,1,RelativeToGround, , ,A
-91.8700000002998,36.3711099998267,77,March 1997,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5228: Motorist has nighttime sighting of bipedal animal at roadside</b><br></br><a href=""http://www.bfro.net/gdb/cl",1997-03-14 12:00:00,1,RelativeToGround, , ,A
-94.2341699997456,36.2061099999765,78,October 2002,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5316: Daytime sighting by hiker near Spring Creek. </b><br></br><a href=""http://www.bfro.net/gdb/classify.asp#class",2002-10-10 12:00:00,1,RelativeToGround, , ,A
-94.4541699998456,34.7069399998811,79,1998,"<img src=""http://www.bfro.net/images/bfroicon-i.jpg"" vspace=""0"" hspace=""0"" width=""50"" height=""26"" align=""right""></img><b>
          Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway</b><br></br><a href=""http://www",1998-07-07 12:00:00,1,RelativeToGround, , ,A
